file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,4
style.css,2,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,34
style.css,3,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,32
style.css,4,css,e6ec7dda,Maya Sissel,2025-10-16,17:18:17,-07:00,2025-10-16T17:18:17-07:00,2,23
style.css,5,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,6,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,7,css,bba28bad,Maya Sissel,2025-09-29,17:36:09,-07:00,2025-09-29T17:36:09-07:00,0,4
style.css,8,css,bba28bad,Maya Sissel,2025-09-29,17:36:09,-07:00,2025-09-29T17:36:09-07:00,2,43
style.css,9,css,bba28bad,Maya Sissel,2025-09-29,17:36:09,-07:00,2025-09-29T17:36:09-07:00,4,42
style.css,10,css,bba28bad,Maya Sissel,2025-09-29,17:36:09,-07:00,2025-09-29T17:36:09-07:00,4,0
style.css,11,css,bba28bad,Maya Sissel,2025-09-29,17:36:09,-07:00,2025-09-29T17:36:09-07:00,2,23
style.css,12,css,4bdd55cd,Maya Sissel,2025-10-09,13:25:51,-07:00,2025-10-09T13:25:51-07:00,2,15
style.css,13,css,4bdd55cd,Maya Sissel,2025-10-09,13:25:51,-07:00,2025-10-09T13:25:51-07:00,2,42
style.css,14,css,4bdd55cd,Maya Sissel,2025-10-09,13:25:51,-07:00,2025-10-09T13:25:51-07:00,2,12
style.css,15,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,16,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,17,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,0,7
style.css,18,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,1,17
style.css,19,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,0,0
style.css,20,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,0,0
style.css,21,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,14
style.css,22,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,15
style.css,23,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,24,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,25,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,3
style.css,26,css,e6ec7dda,Maya Sissel,2025-10-16,17:18:17,-07:00,2025-10-16T17:18:17-07:00,2,39
style.css,27,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,12
style.css,28,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,20
style.css,29,css,e6ec7dda,Maya Sissel,2025-10-16,17:18:17,-07:00,2025-10-16T17:18:17-07:00,2,43
style.css,30,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,31,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,32,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,5
style.css,33,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,6
style.css,34,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,20
style.css,35,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,13
style.css,36,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,17
style.css,37,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,13
style.css,38,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,39,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,40,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,13
style.css,41,css,e6ec7dda,Maya Sissel,2025-10-16,17:18:17,-07:00,2025-10-16T17:18:17-07:00,2,45
style.css,42,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,20
style.css,43,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,44,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,0
style.css,45,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,0,11
style.css,46,css,06a6d998,Maya Sissel,2025-10-09,14:33:40,-07:00,2025-10-09T14:33:40-07:00,2,45
style.css,47,css,e6ec7dda,Maya Sissel,2025-10-16,17:18:17,-07:00,2025-10-16T17:18:17-07:00,2,69
style.css,48,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,49,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,50,css,55e79ade,Maya Sissel,2025-10-09,20:54:30,-07:00,2025-10-09T20:54:30-07:00,0,16
style.css,51,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,4
style.css,52,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,12
style.css,53,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,12
style.css,54,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,30
style.css,55,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,7
style.css,56,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,57,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,58,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,59,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,25
style.css,60,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,12
style.css,61,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,62,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,63,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,10
style.css,64,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,12
style.css,65,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,29
style.css,66,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,18
style.css,67,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,9
style.css,68,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,69,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
style.css,70,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,11
style.css,71,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,2,18
style.css,72,css,8a7e5b1b,Maya Sissel,2025-10-09,15:22:27,-07:00,2025-10-09T15:22:27-07:00,0,0
